gbifID,wc2.1_2.5m_bio_1,wc2.1_2.5m_bio_2,wc2.1_2.5m_bio_3,wc2.1_2.5m_bio_4,wc2.1_2.5m_bio_5,wc2.1_2.5m_bio_6,wc2.1_2.5m_bio_7,wc2.1_2.5m_bio_8,wc2.1_2.5m_bio_9,wc2.1_2.5m_bio_10,wc2.1_2.5m_bio_11,wc2.1_2.5m_bio_12,wc2.1_2.5m_bio_13,wc2.1_2.5m_bio_14,wc2.1_2.5m_bio_15,wc2.1_2.5m_bio_16,wc2.1_2.5m_bio_17,wc2.1_2.5m_bio_18,wc2.1_2.5m_bio_19
1668871545,22.21583366394043,13.413666725158691,60.01103591918945,321.0055847167969,31.399999618530273,9.04800033569336,22.351999282836914,25.600666046142578,17.777334213256836,25.600666046142578,17.777334213256836,559,103,5,81.19840240478516,296,18,296,18
1668864857,22.716333389282227,13.625999450683594,60.16425704956055,316.201904296875,32.071998596191406,9.423999786376953,22.647998809814453,26.028667449951172,18.347333908081055,26.028667449951172,18.347333908081055,563,104,5,83.65100860595703,304,16,304,16
1668857688,22.543500900268555,13.493666648864746,60.347347259521484,310.2033386230469,31.79599952697754,9.435999870300293,22.360000610351562,25.78733253479004,18.260665893554688,25.78733253479004,18.260665893554688,600,113,5,84.52281188964844,326,17,326,17
1668847849,21.70283317565918,13.996333122253418,58.493534088134766,355.0640563964844,31.488000869750977,7.559999942779541,23.928001403808594,25.44266700744629,16.792667388916016,25.44266700744629,16.792667388916016,599,107,8,76.796722412109375,309,28,309,28
1668842453,21.77400016784668,13.747333526611328,59.31711196899414,340.6358642578125,31.395999908447266,8.220000267028809,23.17599868774414,25.39666748046875,17.109333038330078,25.39666748046875,17.109333038330078,627,114,7,76.40016174316406,321,27,321,27
1668842190,22.716333389282227,13.625999450683594,60.16425704956055,316.201904296875,32.071998596191406,9.423999786376953,22.647998809814453,26.028667449951172,18.347333908081055,26.028667449951172,18.347333908081055,563,104,5,83.65100860595703,304,16,304,16
1668836481,21.556167602539062,14.04366683959961,57.631591796875,366.7398376464844,31.440000534057617,7.072000026702881,24.368000030517578,25.417999267578125,16.479333877563477,25.417999267578125,16.479333877563477,609,108,7,76.87689208984375,312,26,312,26
1668833341,22.716333389282227,13.625999450683594,60.16425704956055,316.201904296875,32.071998596191406,9.423999786376953,22.647998809814453,26.028667449951172,18.347333908081055,26.028667449951172,18.347333908081055,563,104,5,83.65100860595703,304,16,304,16
1668745928,24.481332778930664,14.793999671936035,58.631893157958984,284.1265869140625,36.2760009765625,11.043999671936035,25.23200225830078,25.648666381835938,20.655332565307617,27.536666870117188,20.655332565307617,593,150,0,115.37181091308594,410,0,86,0
1668745915,24.024333953857422,15.866666793823242,56.44089889526367,359.9647216796875,36.85200119018555,8.739999771118164,28.112001419067383,26.269332885742188,19.071332931518555,27.617332458496094,19.05533218383789,454,116,0,109.42254638671875,299,1,153,2
1640133073,21.418167114257812,13.418333053588867,58.17869186401367,343.05242919921875,31.011999130249023,7.947999954223633,23.06399917602539,25.073999404907227,16.73466682434082,25.073999404907227,16.73466682434082,670,116,9,73.82344818115234,329,31,329,31
1640120602,20.398500442504883,12.126333236694336,78.947479248046875,81.639434814453125,27.72800064086914,12.368000030517578,15.360000610351562,21.1473331451416,19.190000534057617,21.149999618530273,19.190000534057617,864,141,20,53.195858001708984,351,85,299,85
1640102992,21.004667282104492,12.206666946411133,79.32588195800781,73.48090362548828,28.303998947143555,12.915999412536621,15.387999534606934,21.665332794189453,19.92133331298828,21.698667526245117,19.92133331298828,885,150,20,51.900726318359375,358,93,294,93
1640102979,17.90049934387207,10.791666984558105,70.33150482177734,139.1595458984375,25.360000610351562,10.015999794006348,15.344000816345215,19.097999572753906,16.319332122802734,19.097999572753906,15.861332893371582,778,178,2,88.58287048339844,399,8,399,13
1640102439,19.716167449951172,12.331000328063965,81.597412109375,75.74091339111328,27.375999450683594,12.263999938964844,15.11199951171875,20.218000411987305,18.663333892822266,20.555334091186523,18.663333892822266,1174,183,38,39.722084045410156,441,170,311,170
1640101938,20.961334228515625,10.812000274658203,71.81189727783203,151.85765075683594,28.06800079345703,13.01200008392334,15.056000709533691,22.219999313354492,19.244667053222656,22.219999313354492,18.722000122070312,672,146,0,91.60760498046875,351,3,351,7
1640054456,21.445833206176758,14.244333267211914,59.24277877807617,349.7798767089844,31.275999069213867,7.23199987411499,24.04399871826172,25.13599967956543,16.613332748413086,25.13599967956543,16.613332748413086,639,112,9,75.7867431640625,324,30,324,30
1621793892,21.74333381652832,13.918000221252441,60.28239822387695,329.10052490234375,31.236000061035156,8.14799976348877,23.088001251220703,25.207332611083984,17.20599937438965,25.207332611083984,17.20599937438965,611,110,9,76.18572998046875,315,30,315,30
1621779260,22.345666885375977,14.5600004196167,63.1396369934082,301.8757019042969,32.007999420166016,8.947999954223633,23.059999465942383,25.520000457763672,18.232666015625,25.520000457763672,18.232666015625,539,95,6,79.38916015625,283,26,283,26
1621770961,28.525333404541016,12.952000617980957,59.88533401489258,214.67286682128906,39.487998962402344,17.85999870300293,21.628000259399414,26.583999633789062,27.52400016784668,31.715999603271484,26.583999633789062,877,228,0,113.76713562011719,588,2,123,588
1586955477,22.653667449951172,16.334667205810547,59.44202423095703,361.17437744140625,34.65599822998047,7.175999641418457,27.479999542236328,24.71066665649414,17.645999908447266,26.209333419799805,17.645999908447266,428,112,0,113.83684539794922,294,1,101,1
1586936357,27.960166931152344,12.258333206176758,61.108341217041016,200.2791290283203,38.20399856567383,18.143999099731445,20.059999465942383,26.023334503173828,27.362667083740234,30.909332275390625,26.023334503173828,955,239,0,110.70669555664062,629,4,141,629
1586936230,27.960166931152344,12.258333206176758,61.108341217041016,200.2791290283203,38.20399856567383,18.143999099731445,20.059999465942383,26.023334503173828,27.362667083740234,30.909332275390625,26.023334503173828,955,239,0,110.70669555664062,629,4,141,629
1586123409,19.881999969482422,12.860666275024414,81.47914123535156,81.22345733642578,27.827999114990234,12.043999671936035,15.7839994430542,20.413333892822266,18.902000427246094,20.742666244506836,18.719999313354492,991,156,28,44.2406120300293,380,124,368,128
1586103991,26.56916618347168,8.163666725158691,65.87852478027344,147.50518798828125,31.76799964904785,19.375999450683594,12.392000198364258,27.78533363342285,24.60733413696289,28.12266731262207,24.60733413696289,1013,200,6,78.21147155761719,477,29,398,29
1586080070,16.812833786010742,14.450333595275879,78.6883773803711,56.761871337890625,26.031999588012695,7.667999744415283,18.36400032043457,17.53933334350586,16.44266700744629,17.53933334350586,16.31399917602539,770,128,27,48.7277717590332,286,113,286,184
1586080046,19.70566749572754,12.732000350952148,81.406646728515625,82.1116714477539,27.6200008392334,11.979999542236328,15.64000129699707,20.243999481201172,18.72800064086914,20.577999114990234,18.529333114624023,947,160,25,48.85027313232422,374,108,368,113
1586080043,10.173500061035156,10.989666938781738,79.31341552734375,84.71150207519531,17.607999801635742,3.752000093460083,13.855999946594238,11.070666313171387,10.357333183288574,11.12399959564209,9.029999732971191,1408,196,39,38.96387481689453,493,197,386,304
1586079999,19.70566749572754,12.732000350952148,81.406646728515625,82.1116714477539,27.6200008392334,11.979999542236328,15.64000129699707,20.243999481201172,18.72800064086914,20.577999114990234,18.529333114624023,947,160,25,48.85027313232422,374,108,368,113
1586079998,21.85099983215332,12.998000144958496,73.65140533447266,145.4668426513672,31.18000030517578,13.532000541687012,17.647998809814453,22.739999771118164,20.012666702270508,23.347999572753906,19.777334213256836,616,135,3,83.1328353881836,277,14,173,18
1586079991,19.70566749572754,12.732000350952148,81.406646728515625,82.1116714477539,27.6200008392334,11.979999542236328,15.64000129699707,20.243999481201172,18.72800064086914,20.577999114990234,18.529333114624023,947,160,25,48.85027313232422,374,108,368,113
1584425278,21.769832611083984,12.921000480651855,73.498291015625,146.04869079589844,31.040000915527344,13.460000038146973,17.580001831054688,22.673999786376953,19.92066764831543,23.26533317565918,19.687334060668945,634,138,3,83.16368103027344,285,15,175,19
1580512503,28.651500701904297,12.600333213806152,60.67186737060547,216.05450439453125,39.215999603271484,18.447999954223633,20.76799964904785,26.6386661529541,27.682666778564453,31.859333038330078,26.6386661529541,854,225,0,114.99232482910156,577,1,117,577
1580512444,28.651500701904297,12.600333213806152,60.67186737060547,216.05450439453125,39.215999603271484,18.447999954223633,20.76799964904785,26.6386661529541,27.682666778564453,31.859333038330078,26.6386661529541,854,225,0,114.99232482910156,577,1,117,577
1580512367,28.482166290283203,12.463000297546387,60.806983947753906,212.6500244140625,38.92399978637695,18.42799949645996,20.496000289916992,26.502666473388672,27.507999420166016,31.6299991607666,26.502666473388672,861,226,0,114.78224182128906,582,1,118,582
1580508454,19.60849952697754,12.397000312805176,81.64514923095703,77.2231216430664,27.332000732421875,12.14799976348877,15.184000968933105,20.131332397460938,18.54599952697754,20.476665496826172,18.54599952697754,1169,181,39,38.9512825012207,436,174,308,174
1580507988,27.960166931152344,12.258333206176758,61.108341217041016,200.2791290283203,38.20399856567383,18.143999099731445,20.059999465942383,26.023334503173828,27.362667083740234,30.909332275390625,26.023334503173828,955,239,0,110.70669555664062,629,4,141,629
1580507972,28.002832412719727,12.518999099731445,60.33835220336914,206.8462677001953,38.55999755859375,17.812000274658203,20.747997283935547,26.123332977294922,27.254667282104492,31.068666458129883,26.123332977294922,950,238,0,110.8112564086914,625,3,142,625
1580507953,28.055500030517578,12.625666618347168,60.4445915222168,209.5791015625,38.672000885009766,17.784000396728516,20.88800048828125,26.17599868774414,27.252666473388672,31.16666603088379,26.17599868774414,939,238,0,111.84645080566406,623,3,136,623
1580507902,27.960166931152344,12.258333206176758,61.108341217041016,200.2791290283203,38.20399856567383,18.143999099731445,20.059999465942383,26.023334503173828,27.362667083740234,30.909332275390625,26.023334503173828,955,239,0,110.70669555664062,629,4,141,629
1580507863,27.706499099731445,11.932332992553711,61.633949279785156,195.6129150390625,37.59600067138672,18.236000061035156,19.360000610351562,25.775333404541016,27.124000549316406,30.579999923706055,25.775333404541016,962,242,0,111.31126403808594,637,4,140,637
1580507814,27.960166931152344,12.258333206176758,61.108341217041016,200.2791290283203,38.20399856567383,18.143999099731445,20.059999465942383,26.023334503173828,27.362667083740234,30.909332275390625,26.023334503173828,955,239,0,110.70669555664062,629,4,141,629
1580504900,24.00749969482422,15.894333839416504,57.223262786865234,329.35223388671875,36.65999984741211,8.883999824523926,27.7760009765625,25.69733428955078,19.528667449951172,27.36600112915039,19.468000411987305,513,132,0,112.23564147949219,345,0,178,3
1580504407,21.858667373657227,12.788000106811523,73.39302062988281,144.07379150390625,31.104000091552734,13.680000305175781,17.423999786376953,22.737333297729492,20.046667098999023,23.338666915893555,19.795333862304688,637,141,3,83.87073516845703,285,15,175,19
