uuid,x,y,date,season,rained,planted
f0118efa,27.286,-16.932,2015-11-15,1,0,0
f08a0aa3,27.032,-16.961,2015-11-15,1,0,0
f0bcb418,27.107,-16.772,2015-11-15,1,0,0
f6ebaa5b,27.3,-16.934,2015-11-15,1,0,0
f752c993,27.3,-16.756,2015-11-15,1,0,0
f825b96c,27.06,-16.986,2015-11-15,1,0,0
fb3fc0e0,27.086,-16.783,2015-11-15,1,0,0
fb666168,26.78,-16.851,2015-11-15,1,0,0
fbdacd81,26.999,-16.956,2015-11-15,1,0,0
fbef7ba1,27.227,-16.738,2015-11-15,1,0,0
fc263f78,27.232,-16.72,2015-11-15,1,0,0
fce31f54,26.826,-16.595,2015-11-15,1,0,1
fe096545,27.26,-16.922,2015-11-15,1,0,0
02671a00,27.254,-16.914,2015-11-22,1,1,0
0649944b,27.336,-16.784,2015-11-22,1,1,1
064beba0,26.752,-16.862,2015-11-22,1,1,1
083a46a2,26.977,-16.765,2015-11-22,1,1,1
08683ecf,27.284,-16.749,2015-11-22,1,1,0
0a2efd25,27.338,-16.794,2015-11-22,1,1,1
0c18f625,26.862,-16.674,2015-11-22,1,1,0
0f095777,26.815,-16.599,2015-11-22,1,1,1
116e1bcc,26.859,-16.595,2015-11-22,1,1,0
14e2047a,27.306,-16.742,2015-11-22,1,1,0
16128e91,27.1,-16.894,2015-11-22,1,1,0
186977a2,26.862,-16.674,2015-11-22,1,1,0
1ae8ccff,27.094,-16.813,2015-11-22,1,1,1
261e38c9,26.974,-16.748,2015-11-22,1,1,0
27fb5351,27.094,-16.906,2015-11-22,1,1,1
28706e65,26.969,-16.723,2015-11-22,1,1,1
2a840b88,27.338,-16.794,2015-11-22,1,1,1
2abd46c3,27.294,-16.744,2015-11-22,1,1,1
2cf13d38,27.05,-17.003,2015-11-22,1,1,1
30c2e51a,27.313,-16.779,2015-11-22,1,1,1
3182c9bb,27.086,-16.961,2015-11-22,1,1,0
3210d99e,26.939,-16.49,2015-11-22,1,1,0
33361d1c,26.83,-16.817,2015-11-22,1,0,0
36883452,27.051,-16.84,2015-11-22,1,1,0
36db3c21,26.769,-16.873,2015-11-22,1,1,1
38c83136,26.933,-16.463,2015-11-22,1,0,0
3b6cbc47,27.059,-17.006,2015-11-22,1,0,0
3c0a7255,27.28,-16.872,2015-11-22,1,0,0
41b213e1,26.9,-16.852,2015-11-22,1,0,0
4285ad8d,26.808,-16.835,2015-11-22,1,1,0
46498dc8,26.975,-16.826,2015-11-22,1,1,0
48b2c57f,26.781,-16.849,2015-11-22,1,1,1
4ae722c5,27.298,-16.93,2015-11-22,1,1,1
4bc9a120,27.183,-16.915,2015-11-22,1,1,1
4ca666fd,27.089,-16.951,2015-11-22,1,1,0
4f75193d,26.961,-16.727,2015-11-22,1,1,1
5769b555,27.336,-16.834,2015-11-22,1,1,0
5ad27ec3,26.812,-16.599,2015-11-22,1,0,1
5b732fcd,26.85,-16.216,2015-11-22,1,0,0
5c093270,27.255,-16.908,2015-11-22,1,1,1
5e65fc11,27.094,-16.89,2015-11-22,1,1,0
60734a06,26.989,-16.83,2015-11-22,1,1,1
61228b69,26.802,-16.832,2015-11-22,1,1,1
646d6573,27.256,-16.926,2015-11-22,1,0,0
646ea49f,27.053,-16.927,2015-11-22,1,0,1
64a63ad8,27.23,-16.717,2015-11-22,1,0,0
67cbcae6,26.896,-16.704,2015-11-22,1,1,0
6b38721b,26.788,-16.876,2015-11-22,1,1,1
6be46cee,26.967,-16.821,2015-11-22,1,0,0
6d05224a,26.853,-16.21,2015-11-22,1,0,0
6df8bb5e,26.977,-16.819,2015-11-22,1,1,0
6e1aeb91,27.045,-16.962,2015-11-22,1,1,1
730b727a,27.056,-16.934,2015-11-22,1,1,1
73c31707,27.117,-16.92,2015-11-22,1,1,1
748a4af0,26.814,-16.612,2015-11-22,1,1,1
74ccfcac,26.899,-16.856,2015-11-22,1,1,0
770da037,26.833,-16.817,2015-11-22,1,1,1
79afec99,27.326,-16.764,2015-11-22,1,1,1
7a2965b2,27.185,-16.917,2015-11-22,1,1,0
7c62ae6a,26.94,-16.727,2015-11-22,1,1,0
7c6dbe51,26.886,-16.584,2015-11-22,1,1,1
7d101d28,27.305,-16.803,2015-11-22,1,0,0
7de10584,27.338,-16.799,2015-11-22,1,0,0
7e77ffc9,27.086,-16.97,2015-11-22,1,1,1
7eed2695,26.923,-17.049,2015-11-22,1,1,1
814ca378,27.061,-17.004,2015-11-22,1,0,0
85f03621,26.938,-16.513,2015-11-22,1,1,1
86f14077,27.299,-16.752,2015-11-22,1,1,0
897c6236,27.336,-16.834,2015-11-22,1,1,1
8bae7654,27.04,-16.842,2015-11-22,1,1,0
8d2db211,26.934,-17.036,2015-11-22,1,1,1
8d690816,26.936,-16.744,2015-11-22,1,1,1
926caf97,26.869,-16.61,2015-11-22,1,1,1
981208ad,27.344,-16.776,2015-11-22,1,0,1
991ece73,27.086,-16.967,2015-11-22,1,1,1
9b42e80a,26.869,-16.614,2015-11-22,1,1,1
9c5f30d9,26.863,-16.62,2015-11-22,1,1,1
a006eab2,27.335,-16.798,2015-11-22,1,1,1
a039fcbf,27.059,-17.005,2015-11-22,1,1,1
a3016253,27.299,-16.753,2015-11-22,1,0,0
