Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QC","Crops","202","South Africa","5510","Production","15","Wheat","2015","2015","tonnes","1440000","","Official data"
"QC","Crops","202","South Africa","5510","Production","15","Wheat","2016","2016","tonnes","1910000","","Official data"
"QC","Crops","202","South Africa","5510","Production","15","Wheat","2017","2017","tonnes","1535000","","Official data"
"QC","Crops","251","Zambia","5312","Area harvested","15","Wheat","1961","1961","ha","380","","Official data"
"QC","Crops","251","Zambia","5312","Area harvested","15","Wheat","1962","1962","ha","554","","Official data"
"QC","Crops","251","Zambia","5312","Area harvested","15","Wheat","1963","1963","ha","356","","Official data"
"QC","Crops","251","Zambia","5312","Area harvested","15","Wheat","1964","1964","ha","145","","Official data"
"QC","Crops","251","Zambia","5312","Area harvested","15","Wheat","1965","1965","ha","94","","Official data"
"QC","Crops","251","Zambia","5312","Area harvested","15","Wheat","1966","1966","ha","41","","Official data"
"QC","Crops","251","Zambia","5312","Area harvested","15","Wheat","1967","1967","ha","120","F","FAO estimate"
"QC","Crops","251","Zambia","5312","Area harvested","15","Wheat","1968","1968","ha","150","F","FAO estimate"
"QC","Crops","251","Zambia","5312","Area harvested","15","Wheat","1969","1969","ha","100","F","FAO estimate"
"QC","Crops","251","Zambia","5312","Area harvested","15","Wheat","1970","1970","ha","100","F","FAO estimate"
"QC","Crops","251","Zambia","5312","Area harvested","15","Wheat","1971","1971","ha","100","F","FAO estimate"
"QC","Crops","251","Zambia","5312","Area harvested","15","Wheat","1972","1972","ha","100","F","FAO estimate"
"QC","Crops","251","Zambia","5312","Area harvested","15","Wheat","1973","1973","ha","100","F","FAO estimate"
"QC","Crops","251","Zambia","5312","Area harvested","15","Wheat","1974","1974","ha","435","","Official data"
"QC","Crops","251","Zambia","5312","Area harvested","15","Wheat","1975","1975","ha","1144","","Official data"
"QC","Crops","251","Zambia","5312","Area harvested","15","Wheat","1976","1976","ha","800","","Official data"
"QC","Crops","251","Zambia","5312","Area harvested","15","Wheat","1977","1977","ha","1585","","Official data"
"QC","Crops","251","Zambia","5312","Area harvested","15","Wheat","1978","1978","ha","1600","","Official data"
"QC","Crops","251","Zambia","5312","Area harvested","15","Wheat","1979","1979","ha","2100","","Official data"
"QC","Crops","251","Zambia","5312","Area harvested","15","Wheat","1980","1980","ha","2400","","Official data"
"QC","Crops","251","Zambia","5312","Area harvested","15","Wheat","1981","1981","ha","3600","","Official data"
"QC","Crops","251","Zambia","5312","Area harvested","15","Wheat","1982","1982","ha","3700","","Official data"
"QC","Crops","251","Zambia","5312","Area harvested","15","Wheat","1983","1983","ha","3044","","Official data"
"QC","Crops","251","Zambia","5312","Area harvested","15","Wheat","1984","1984","ha","3490","","Official data"
"QC","Crops","251","Zambia","5312","Area harvested","15","Wheat","1985","1985","ha","5000","*","Unofficial figure"
"QC","Crops","251","Zambia","5312","Area harvested","15","Wheat","1986","1986","ha","3600","","Official data"
"QC","Crops","251","Zambia","5312","Area harvested","15","Wheat","1987","1987","ha","7397","","Official data"
"QC","Crops","251","Zambia","5312","Area harvested","15","Wheat","1988","1988","ha","8742","","Official data"
"QC","Crops","251","Zambia","5312","Area harvested","15","Wheat","1989","1989","ha","9871","","Official data"
"QC","Crops","251","Zambia","5312","Area harvested","15","Wheat","1990","1990","ha","12520","","Official data"
"QC","Crops","251","Zambia","5312","Area harvested","15","Wheat","1991","1991","ha","14880","","Official data"
"QC","Crops","251","Zambia","5312","Area harvested","15","Wheat","1992","1992","ha","13289","","Official data"
"QC","Crops","251","Zambia","5312","Area harvested","15","Wheat","1993","1993","ha","13656","","Official data"
"QC","Crops","251","Zambia","5312","Area harvested","15","Wheat","1994","1994","ha","11566","","Official data"
"QC","Crops","251","Zambia","5312","Area harvested","15","Wheat","1995","1995","ha","7806","","Official data"
"QC","Crops","251","Zambia","5312","Area harvested","15","Wheat","1996","1996","ha","10327","","Official data"
"QC","Crops","251","Zambia","5312","Area harvested","15","Wheat","1997","1997","ha","10693","","Official data"
"QC","Crops","251","Zambia","5312","Area harvested","15","Wheat","1998","1998","ha","11278","","Official data"
"QC","Crops","251","Zambia","5312","Area harvested","15","Wheat","1999","1999","ha","9921","","Official data"
"QC","Crops","251","Zambia","5312","Area harvested","15","Wheat","2000","2000","ha","12077","","Official data"
"QC","Crops","251","Zambia","5312","Area harvested","15","Wheat","2001","2001","ha","12000","*","Unofficial figure"
"QC","Crops","251","Zambia","5312","Area harvested","15","Wheat","2002","2002","ha","12000","*","Unofficial figure"
"QC","Crops","251","Zambia","5312","Area harvested","15","Wheat","2003","2003","ha","21000","F","FAO estimate"
"QC","Crops","251","Zambia","5312","Area harvested","15","Wheat","2004","2004","ha","13543","*","Unofficial figure"
"QC","Crops","251","Zambia","5312","Area harvested","15","Wheat","2005","2005","ha","22033","","Official data"
"QC","Crops","251","Zambia","5312","Area harvested","15","Wheat","2006","2006","ha","17100","*","Unofficial figure"
"QC","Crops","251","Zambia","5312","Area harvested","15","Wheat","2007","2007","ha","18833","","Official data"
"QC","Crops","251","Zambia","5312","Area harvested","15","Wheat","2008","2008","ha","11394","","Official data"
"QC","Crops","251","Zambia","5312","Area harvested","15","Wheat","2009","2009","ha","34296","","Official data"
